id,Term,CDRS_Q1,CDRS_Q2,CDRS_Q3,CDRS_Q4,CDRS_Q5,CDRS_Q6,CDRS_Q7,CDRS_Q8,CDRS_Q9,CDRS_Q10,CDRS_Q11,CDRS_Q12,CDRS_Q20,CDRS_Q21,CDRS_Q22,CDRS_Q23,CDRS_Q24,CDRS_Q25
23,Term1,4,4,3,4,4,3,3,4,4,4,4,3,2,3,3,3,4,4
183,Term1,3,4,4,3,4,3,4,2,3,3,3,3,3,3,3,3,4,4
80,Term1,3,4,4,3,4,3,4,3,4,4,4,4,4,4,4,3,4,4
1,Term1,3,4,4,3,3,2,4,4,4,4,4,4,2,3,3,2,3,4
166,Term1,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
15,Term1,3,3,2,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3
78,Term1,3,2,1,3,1,0,1,3,2,3,2,3,2,2,1,3,3,3
20,Term1,3,4,3,2,3,2,3,3,3,4,4,3,2,3,2,3,3,4
68,Term1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
48,Term1,4,4,4,3,4,3,2,4,3,3,3,3,2,4,4,3,3,4
59,Term1,3,4,4,3,4,4,3,3,4,4,3,3,2,4,4,3,3,4
57,Term1,3,4,2,3,3,3,3,3,3,3,3,3,2,2,3,2,3,2
36,Term1,4,4,2,2,3,2,3,3,4,3,3,4,2,3,2,2,3,3
79,Term1,3,4,4,4,4,2,4,3,4,2,3,2,2,4,4,3,3,3
65,Term1,3,2,3,3,3,4,3,4,4,4,3,3,2,3,3,3,3,4
237,Term1,4,4,0,3,3,3,3,4,3,3,3,3,2,2,3,3,3,2
124,Term1,3,4,0,4,3,3,3,4,4,3,4,3,2,4,4,3,3,4
198,Term1,4,4,2,2,2,3,3,3,4,3,3,3,2,3,2,2,3,3
114,Term1,3,4,1,3,3,3,3,3,2,3,3,3,2,3,4,3,3,4
189,Term1,4,4,4,3,3,2,4,4,4,3,4,4,3,4,2,4,3,3
9,Term1,3,4,2,3,3,3,3,2,3,3,3,3,2,2,2,2,3,3
227,Term1,3,4,3,2,3,3,3,3,3,3,3,3,2,3,2,2,3,3
41,Term2,3,4,1,4,4,4,2,3,2,4,3,3,2,4,3,3,4,4
210,Term2,4,4,3,4,4,3,3,4,3,4,3,3,2,4,3,3,4,3
58,Term2,3,4,0,3,4,4,3,4,0,2,4,4,2,2,3,2,3,4
4,Term2,3,4,3,2,2,3,2,3,4,3,3,3,3,3,3,1,3,3
261,Term2,2,4,0,3,4,2,2,4,2,3,4,3,2,4,3,2,4,4
63,Term2,3,4,1,3,4,4,3,3,3,4,3,3,2,3,3,3,3,3
135,Term2,4,4,1,4,4,4,4,4,2,3,4,4,2,4,4,3,4,4
195,Term2,3,3,2,3,4,4,3,4,4,4,4,3,2,3,3,4,4,4
257,Term2,3,4,1,3,3,4,3,2,0,4,2,4,2,3,3,3,4,4
8,Term2,3,4,0,3,3,3,3,3,4,3,4,3,3,4,4,3,3,3
217,Term2,3,4,3,4,4,3,2,3,4,3,4,3,1,4,4,4,4,4
192,Term3,4,4,4,4,4,4,3,3,3,3,3,3,2,4,4,3,3,4
76,Term3,3,4,2,3,4,3,4,3,3,4,4,4,2,4,3,4,4,4
51,Term3,3,4,2,2,2,2,2,2,4,3,2,3,2,3,2,2,3,3
74,Term3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,3,3,3
234,Term3,3,4,1,2,3,3,2,2,3,4,3,3,3,4,2,3,4,4
152,Term3,4,4,4,4,3,2,3,4,4,3,3,3,2,4,4,3,3,4
103,Term3,4,4,3,4,4,4,3,3,3,4,4,4,2,3,4,2,4,4
45,Term3,3,4,2,4,3,3,3,3,3,3,4,3,3,3,4,3,3,4
72,Term3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4
238,Term3,2,4,2,2,2,3,3,3,3,2,3,2,2,2,2,3,2,3
255,Term3,4,4,4,4,4,2,3,4,4,4,4,4,3,4,3,3,4,3
82,Term3,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,2,3,4
142,Term3,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4
149,Term3,2,4,3,3,4,3,2,3,3,3,4,3,2,3,3,2,3,4
226,Term3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4
233,Term3,3,4,2,3,3,4,3,3,3,3,3,3,3,3,2,2,3,3
86,Term3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
209,Term3,3,2,0,3,2,0,4,4,0,4,3,3,0,4,3,3,3,2
44,Term3,3,4,2,3,3,2,2,3,3,4,3,2,2,3,2,3,3,4
174,Term3,3,4,2,3,4,3,4,4,4,4,4,4,3,4,4,3,4,4
109,Term3,3,4,4,4,4,4,3,3,4,4,3,4,1,4,3,3,4,4
39,Term3,4,4,1,3,4,2,4,4,4,4,3,4,2,4,3,3,4,4
186,Term3,3,4,3,3,3,3,3,3,4,3,3,3,2,2,2,2,3,2
252,Term3,3,4,2,3,3,3,4,4,4,3,4,4,2,4,3,4,4,4
53,Term3,3,4,4,3,3,3,3,2,4,4,3,3,2,4,3,4,4,4
83,Term3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,2,2,3,4
2,Term3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
165,Term3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
147,Term3,3,4,3,2,3,3,2,3,4,3,3,3,3,3,3,2,3,3
31,Term4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4
47,Term4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,4
13,Term4,3,2,0,3,3,3,3,3,3,4,3,3,1,3,3,3,3,3
26,Term4,2,4,1,2,4,2,2,2,4,3,3,4,2,3,2,2,2,2
88,Term4,3,3,1,3,3,3,3,3,4,4,4,4,3,2,2,3,4,3
